PARTICIPANT_ID,PC1_MS,SENS_NOISE_MS,SIGMA1_MS,MU2_MS,SIGMA2_MS,NLL_MS,PC1_PM,SENS_NOISE_PM,SIGMA1_PM,MU2_PM,SIGMA2_PM,NLL_PM,CHOSEN STRATEGY
31,0.50962706,267.1372452,52.2193579,118.4780047,227.0114533,-64.93180557,0.5416639,348.1977662,235.4637363,-234.4042932,386.2582696,-51.71382047,MODEL SELECTION
32,0.67282697,81.66106414,277.0427505,-312.837085,132.7454651,-52.54103886,0.53562109,111.2059666,384.2376736,418.6013151,474.9502639,-46.28676988,MODEL SELECTION
33,0.46565523,146.5615106,169.9887224,427.9706093,371.7302948,-68.69381077,4.53E-01,1.96E+02,4.65E+02,2.56E+02,3.94E+02,-51.8416899,MODEL SELECTION
34,0.61381228,198.7384383,199.0485493,111.0603429,57.12747258,-53.34118712,0.64156469,18.57383416,456.6325002,-336.3618462,237.7109479,-46.96469072,MODEL SELECTION
35,0.69601788,61.86288621,453.4730031,106.8374085,77.89737418,-51.46567781,0.68545206,224.3847081,492.1574216,436.9093158,78.36760279,-40.91975404,MODEL SELECTION
36,0.30557172,159.401378,69.72674603,-23.3608958,239.4279124,-52.58982094,0.6727853,243.9052022,157.1648601,-431.3514916,350.6017455,-47.36961327,MODEL SELECTION
37,0.43985253,370.508826,434.6499553,48.76253169,364.8162036,-57.32488496,0.52204032,19.26468705,190.227665,-87.54539689,147.0596228,-52.05371581,MODEL SELECTION
38,0.40478276,334.1646954,188.897085,266.5356719,47.44393178,-52.20961951,3.15E-01,3.74E+02,4.71E+02,1.43E+02,4.97E+02,-42.8559681,MODEL SELECTION
39,0.40636415,311.5663562,116.7693464,164.0739958,200.262528,-49.98352414,0.49084564,390.2746595,171.72916,226.5714073,220.7198473,-42.13199492,MODEL SELECTION
40,3.06E-01,4.86E+02,2.64E+02,2.06E+02,2.61E+02,-53.36131869,0.61051702,270.275965,71.16557062,214.9579618,213.5828832,-48.02769392,MODEL SELECTION
41,0.50852201,446.0187238,6.29300302,278.5728898,21.57573005,-65.26387905,0.51159776,351.4476099,166.9105206,-66.75848125,479.3769459,-59.47924146,MODEL SELECTION
42,0.49089975,339.1063975,180.8548058,-403.0161923,372.4852743,-54.80985475,0.44082808,229.117775,110.978664,95.71081217,235.8108935,-46.24617641,MODEL SELECTION
43,0.54163552,328.9058894,63.81671624,-348.1100701,360.4663974,-54.25641041,0.45794917,426.5646549,374.4746372,293.5661667,165.4262855,-47.7278308,MODEL SELECTION
44,4.31E-01,2.80E+02,4.44E+02,2.38E+02,2.56E+02,-57.94992034,3.07E-01,2.00E+02,1.13E+02,-3.13E+02,1.02E+02,-41.61557516,MODEL SELECTION
45,0.5390407,132.566155,267.0512185,422.2500702,326.4019268,-54.39660188,0.57124735,131.8492427,48.65792575,-395.8385527,216.1775913,-47.71699251,MODEL SELECTION
46,0.66404006,385.8866437,394.0150188,241.2204913,425.0899227,-51.65877925,0.52976755,35.06757663,250.8625577,-257.5239307,488.3806345,-45.5515126,MODEL SELECTION
47,0.51859864,100.74218,497.7432094,-156.4762466,461.9346086,-46.28122952,3.06E-01,3.84E+02,4.31E+02,-2.38E+02,4.90E+02,-37.66912203,MODEL SELECTION
48,0.47575689,31.78542381,107.8371138,264.3810956,381.4401258,-56.56160665,0.52897501,190.2434863,262.654614,363.4057905,244.4906253,-43.70356022,MODEL SELECTION
49,0.59553065,135.664112,64.64947564,-246.3572468,81.4331243,-54.96156628,4.47E-01,7.87E+01,1.85E+01,2.95E+02,4.86E+02,-49.71062754,MODEL SELECTION
50,3.71E-01,4.96E+02,3.63E+02,-4.25E+02,9.70E+01,-58.86443441,0.53870548,146.8848135,428.383136,271.4643743,331.6319248,-48.40248861,MODEL SELECTION
