,-300,-267,-200,-133,-100,-67,0,+67,+100,+133,+200,+267,+300,+400,+500,R2
0,0.0,0.0,1.0,1.0,4.0,12.0,9.0,10.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.2985002111613351
1,0.0,0.0,2.0,3.0,3.0,2.0,9.0,11.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.11390491805511672
2,0.0,1.0,0.0,1.0,2.0,6.0,11.0,10.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.6708173716929756
3,0.0,0.0,0.0,6.0,5.0,6.0,9.0,10.0,10.0,6.0,4.0,1.0,0.0,0.0,0.0,0.35381994279752643
4,0.0,1.0,0.0,4.0,2.0,10.0,12.0,12.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.40238706797482837
5,0.0,0.0,1.0,5.0,7.0,10.0,11.0,7.0,8.0,7.0,3.0,0.0,1.0,0.0,0.0,0.4550838611921149
6,0.0,0.0,1.0,1.0,2.0,8.0,11.0,12.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.13110404907997864
7,0.0,0.0,3.0,5.0,3.0,8.0,11.0,10.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.6241784683372433
8,0.0,0.0,0.0,5.0,7.0,8.0,8.0,11.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.32759399658818866
9,0.0,0.0,1.0,4.0,8.0,10.0,8.0,11.0,11.0,5.0,3.0,1.0,0.0,0.0,0.0,0.010610536423053108
10,0.0,0.0,3.0,6.0,8.0,8.0,10.0,10.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,-0.2863505001246888
11,0.0,0.0,3.0,3.0,2.0,10.0,8.0,10.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.44919066521946516
12,0.0,0.0,1.0,4.0,10.0,4.0,12.0,9.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.22715659589392945
13,0.0,0.0,1.0,5.0,9.0,8.0,10.0,7.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.625962722940845
14,0.0,0.0,0.0,3.0,7.0,9.0,12.0,8.0,4.0,7.0,3.0,1.0,0.0,0.0,0.0,-0.034103242038605035
15,0.0,0.0,1.0,4.0,7.0,9.0,12.0,10.0,6.0,8.0,6.0,0.0,2.0,0.0,0.0,0.38154079843117494
16,0.0,1.0,1.0,8.0,4.0,7.0,11.0,12.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.2517730880743333
17,0.0,0.0,1.0,2.0,9.0,3.0,11.0,11.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.5805086896438401
18,0.0,0.0,2.0,7.0,5.0,6.0,10.0,10.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.22624361172348445
19,0.0,0.0,0.0,4.0,7.0,7.0,10.0,9.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.20718548254118624
20,0.0,0.0,2.0,3.0,6.0,10.0,11.0,8.0,6.0,8.0,7.0,1.0,0.0,0.0,0.0,0.21674433440745408
